datetime,open,high,low,close,vol
2015-01-05 10:15:01.000000,73760,73920,73620,73920,701
2015-01-05 10:15:28.000000,73920,74150,73850,74150,513
2015-01-05 10:16:07.000000,74150,74150,73850,73850,273
2015-01-05 10:16:32.000000,73850,74070,73760,74070,628
2015-01-05 10:17:55.000000,74070,74190,73890,74190,836
2015-01-05 10:19:00.000000,74190,74330,74030,74330,607
2015-01-05 10:19:28.000000,74330,74440,74140,74440,536
2015-01-05 10:19:55.000000,74440,74520,74220,74520,1590
2015-01-05 10:21:03.000000,74520,74720,74420,74720,873
2015-01-05 10:21:43.000000,74720,74720,74420,74420,337
2015-01-05 10:21:57.000000,74420,74620,74320,74620,921
2015-01-05 10:23:17.000000,74620,74630,74330,74330,722
2015-01-05 10:24:44.000000,74330,74420,74120,74120,515
2015-01-05 10:25:26.000000,74120,74120,73820,73820,1667
2015-01-05 10:26:00.000000,73820,74020,73720,74020,971
2015-01-05 10:27:33.000000,74020,74050,73750,73750,296
2015-01-05 10:28:14.000000,73750,73950,73650,73650,1073
2015-01-05 10:29:52.000000,73650,73670,73370,73370,1039
2015-01-05 10:30:02.000000,73370,73620,73320,73620,543
2015-01-05 10:30:15.000000,73620,73700,73400,73700,241
2015-01-05 10:30:29.000000,73700,73850,73550,73850,924
2015-01-05 10:32:58.000000,73850,73910,73610,73610,682
2015-01-05 10:34:39.000000,73610,73720,73420,73720,501
2015-01-05 10:35:36.000000,73720,73910,73610,73610,2611
2015-01-05 10:43:26.000000,73610,73730,73430,73430,2021
2015-01-05 10:50:05.000000,73430,73510,73210,73210,1546
2015-01-05 10:52:01.000000,73210,73250,72950,72950,4648
2015-01-05 10:57:26.000000,72950,73010,72710,72710,1289
2015-01-05 10:58:15.000000,72710,72770,72470,72770,2222
2015-01-05 10:58:47.000000,72770,72950,72650,72650,964
2015-01-05 11:00:00.000000,72650,72920,72620,72920,656
2015-01-05 11:00:18.000000,72920,73190,72890,73190,501
2015-01-05 11:00:42.000000,73190,73440,73140,73440,2032
2015-01-05 11:03:47.000000,73440,73710,73410,73710,1995
2015-01-05 11:06:07.000000,73710,73850,73550,73550,3002
2015-01-05 11:13:17.000000,73550,73820,73510,73820,828
2015-01-05 11:15:34.000000,73820,74100,73800,74100,1154
2015-01-05 11:16:19.000000,74100,74250,73950,73950,1886
2015-01-05 11:18:10.000000,73950,74000,73700,74000,1201
2015-01-05 11:19:23.000000,74000,74300,74000,74300,1040
2015-01-05 11:20:40.000000,74300,74450,74150,74450,2764
2015-01-05 11:23:35.000000,74450,74500,74200,74200,4273
2015-01-05 11:25:38.000000,74200,74500,74200,74500,1653
2015-01-05 11:28:23.000000,74500,74540,74240,74540,2104
2015-01-05 11:30:06.000000,74540,74680,74380,74380,1084
2015-01-05 11:31:35.000000,74380,74640,74340,74640,600
2015-01-05 11:32:41.000000,74640,74680,74380,74380,1775
2015-01-05 11:35:25.000000,74380,74450,74150,74450,2066
2015-01-05 11:40:02.000000,74450,74640,74340,74640,1734
2015-01-05 11:45:13.000000,74640,74860,74560,74860,2097
2015-01-05 11:49:02.000000,74860,75060,74760,75060,2713
2015-01-05 11:54:01.000000,75060,75270,74970,75270,2352
2015-01-05 11:55:26.000000,75270,75390,75090,75390,2059
2015-01-05 11:58:05.000000,75390,75400,75100,75100,1675
2015-01-05 12:00:45.000000,75100,75150,74850,74850,2715
2015-01-05 12:05:13.000000,74850,75030,74730,75030,675
